type,size,k,runs,LV_app,LV_app_CI_lower,LV_app_CI_upper,continuation_app,continuation_app_CI_lower,continuation_app_CI_upper,greedy_app,greedy_app_CI_lower,greedy_app_CI_upper
geometric,11,0.5,1000,0.9835,0.9780433232795762,0.9889566767204239,0.9944666666666667,0.9911797519337987,0.9977535813995347,0.99475,0.9915510300396064,0.9979489699603936
geometric,16,0.5,1000,0.9725,0.9661566533893797,0.9788433466106203,0.9837166666666667,0.9788016295808949,0.9886317037524385,0.99325,0.9899921744854611,0.9965078255145389
geometric,23,0.5,1000,0.9600833333333334,0.9531714252410622,0.9669952414256046,0.9585666666666667,0.951622036920007,0.9655112964133263,0.9889833333333333,0.9851198129082297,0.992846853758437
geometric,32,0.5,1000,0.9350000000000003,0.9272454837998879,0.9427545162001126,0.9101333333333335,0.901911626355103,0.9183550403115639,0.9788,0.9737895169225231,0.9838104830774769
geometric,45,0.5,1000,0.9066000000000002,0.8981614384599453,0.915038561540055,0.8493833333333335,0.8413367890507953,0.8574298776158716,0.9736666666666668,0.9682601618234209,0.9790731715099127
geometric,64,0.5,1000,0.8884000000000001,0.8799281022385947,0.8968718977614054,0.7963333333333333,0.7882971562074629,0.8043695104592038,0.9652000000000001,0.9594365907362439,0.9709634092637562
geometric,91,0.5,1000,0.8692000000000001,0.8620785388195195,0.8763214611804807,0.7392809523809524,0.731782876191321,0.7467790285705838,0.9496666666666668,0.9433890427621302,0.9559442905712033
geometric,128,0.5,1000,0.8453238095238097,0.8407997462539256,0.8498478727936938,0.7125857142857142,0.7062257105411583,0.71894571803027,0.9585238095238097,0.9526555550603691,0.9643920639872502
geometric,160,0.5,1000,0.844857142857143,0.8408939982738147,0.8488202874404712,0.7166904761904761,0.7101777005752986,0.7232032518056536,0.9706666666666668,0.9654733082101516,0.9758600251231819
geometric,200,0.5,1000,0.8390952380952383,0.835165761295025,0.8430247148954517,0.7150952380952381,0.7082194242290163,0.7219710519614599,0.9788333333333333,0.974408378264813,0.9832582884018537
